NODES
14,53
11,54
10,52
11,51
10,55
13,54
15,51
13,51
15,54
12,52
12,55
14,52
14,55
10,51
11,50
10,54
11,53
13,50
13,53
15,50
15,53
12,54
14,51
12,51
14,54
11,52
10,50
11,55
10,53
13,52
13,55
15,52
15,55
12,50
12,53
14,50
EDGES
10,50|10,51|5
10,50|11,50|5
10,51|10,52|5
10,51|11,51|10
10,52|10,53|5
10,52|11,52|5
10,53|10,54|5
10,53|11,53|5
10,54|10,55|5
10,54|11,54|5
10,55|11,55|5
11,50|11,51|7
11,50|12,50|5
11,51|11,52|7
11,51|12,51|10
11,52|11,53|7
11,52|12,52|5
11,53|11,54|7
11,53|12,53|5
11,54|11,55|7
11,54|12,54|5
11,55|12,55|5
12,50|12,51|7
12,50|13,50|5
12,51|12,52|7
12,51|13,51|10
12,52|12,53|7
12,52|13,52|5
12,53|12,54|7
12,53|13,53|5
12,54|12,55|7
12,54|13,54|5
12,55|13,55|5
13,50|13,51|7
13,50|14,50|5
13,51|13,52|7
13,51|14,51|10
13,52|13,53|7
13,52|14,52|5
13,53|13,54|7
13,53|14,53|5
13,54|13,55|7
13,54|14,54|5
13,55|14,55|5
14,50|14,51|5
14,50|15,50|5
14,51|14,52|5
14,51|15,51|10
14,52|14,53|5
14,52|15,52|5
14,53|14,54|5
14,53|15,53|5
14,54|14,55|5
14,54|15,54|5
14,55|15,55|5
15,50|15,51|5
15,51|15,52|5
15,52|15,53|5
15,53|15,54|5
15,54|15,55|5
DATA
JAVIER:14,54
ANDREINA:13,52
DEST:Discoteca The Darkness|14,50
DEST:Bar La Pasión|11,54
DEST:Cervecería Mi Rolita|12,50
